SiteNo,Lat,Long,Date,Water.status
2603,-27.305879,152.682973,20/03/2018,1
608,-27.2418,152.4235,20/03/2018,1
2814,-27.031696,152.335885,20/03/2018,1
2404,-27.847812,153.274219,23/03/2018,1
2009,-28.2139,153.3287,23/03/2018,1
1803,-28.1954,152.7749,23/03/2018,1
1101,-27.7265,152.8219,28/03/2018,1
2816,-27.019514,152.320155,29/03/2018,0
2905,-27.122232,151.985509,29/03/2018,0
2902,-27.116705,151.973318,29/03/2018,1
2305,-27.087183,151.876263,29/03/2018,0
911,-27.432201,152.077525,29/03/2018,0.05
2703,-27.610868,152.220624,30/03/2018,0
3301,-27.706134,152.329484,30/03/2018,0.02
3201,-27.826284,152.366955,30/03/2018,1
2603,-27.305879,152.682973,10/05/2018,1
608,-27.2418,152.4235,10/05/2018,1
2814,-27.031696,152.335885,10/05/2018,1
2404,-27.847812,153.274219,12/05/2018,0.79
2009,-28.2139,153.3287,12/05/2018,1
1803,-28.1954,152.7749,12/05/2018,1
1101,-27.7265,152.8219,12/05/2018,1
2816,-27.019514,152.320155,10/05/2018,0
2905,-27.122232,151.985509,10/05/2018,0
2902,-27.116705,151.973318,10/05/2018,1
2305,-27.087183,151.876263,10/05/2018,0
911,-27.432201,152.077525,11/05/2018,0.02
2703,-27.610868,152.220624,11/05/2018,0
3301,-27.706134,152.329484,11/05/2018,0.03
3201,-27.826284,152.366955,11/05/2018,0.36
2603,-27.305879,152.682973,24/07/2018,1
608,-27.2418,152.4235,25/07/2018,0.9
2814,-27.031696,152.335885,25/07/2018,1
2404,-27.847812,153.274219,27/07/2018,0
2009,-28.2139,153.3287,27/07/2018,1
1803,-28.1954,152.7749,27/07/2018,1
1101,-27.7265,152.8219,27/07/2018,1
2816,-27.019514,152.320155,25/07/2018,0
2905,-27.122232,151.985509,25/07/2018,0
2902,-27.116705,151.973318,25/07/2018,0.85
2305,-27.087183,151.876263,25/07/2018,0
911,-27.432201,152.077525,25/07/2018,0
2703,-27.610868,152.220624,26/07/2018,0
3301,-27.706134,152.329484,26/07/2018,0
3201,-27.826284,152.366955,28/07/2018,0.01
2603,-27.305879,152.682973,29/08/2018,0.7
608,-27.2418,152.4235,2/09/2018,0.3
2814,-27.031696,152.335885,29/08/2018,1
2404,-27.847812,153.274219,3/09/2018,0
2009,-28.2139,153.3287,3/09/2018,1
1803,-28.1954,152.7749,3/09/2018,1
1101,-27.7265,152.8219,31/08/2018,1
2816,-27.019514,152.320155,29/08/2018,0
2905,-27.122232,151.985509,2/09/2018,0
2902,-27.116705,151.973318,2/09/2018,1
2305,-27.087183,151.876263,2/09/2018,0
911,-27.432201,152.077525,2/09/2018,0
2703,-27.610868,152.220624,30/08/2018,0
3301,-27.706134,152.329484,30/08/2018,0
3201,-27.826284,152.366955,30/08/2018,0
2603,-27.305879,152.682973,4/11/2018,1
608,-27.2418,152.4235,4/11/2018,1
2814,-27.031696,152.335885,4/11/2018,1
2404,-27.847812,153.274219,1/11/2018,1
2009,-28.2139,153.3287,1/11/2018,1
1803,-28.1954,152.7749,1/11/2018,1
1101,-27.7265,152.8219,1/11/2018,1
2816,-27.019514,152.320155,4/11/2018,0
2905,-27.122232,151.985509,5/11/2018,0
2902,-27.116705,151.973318,5/11/2018,1
2305,-27.087183,151.876263,5/11/2018,0
911,-27.432201,152.077525,3/11/2018,0
2703,-27.610868,152.220624,3/11/2018,0
3301,-27.706134,152.329484,3/11/2018,0
3201,-27.826284,152.366955,3/11/2018,0
