SiteNo,Latitude,Longtitude,Date,Water.status
1101,-27.7265,152.8219,8/01/2018,1
1102,-27.7178,152.8081,8/01/2018,1
1002,-27.494,152.538,8/01/2018,1
2603,-27.305879,152.682973,15/01/2018,1
608,-27.2418,152.4235,15/01/2018,1
911,-27.432201,152.077525,15/01/2018,0.11
801,-27.1587,152.8838,10/01/2018,1
802,-27.1752,152.9219,10/01/2018,1
806,-27.152,152.976,10/01/2018,1
2902,-27.116705,151.973318,16/01/2018,1
2905,-27.122232,151.985509,16/01/2018,0
1322,-27.812,152.1813,15/01/2018,0.06
1324,-27.8117,152.1971,15/01/2018,1
1909,-28.1992,153.2299,18/01/2018,1
1716,-27.984913,152.445646,11/01/2018,1
1717,-27.942632,152.45627,11/01/2018,1
1404,-27.761,152.4422,8/01/2018,0.71
1606,-27.752943,153.123098,9/01/2018,1
1505,-27.9315,152.95,9/01/2018,1
1713,-28.116973,152.614456,11/01/2018,1
1714,-28.119068,152.617199,11/01/2018,1
1701,-28.1074,152.5126,11/01/2018,1
1715,-28.091262,152.456633,11/01/2018,1
1506,-28.003942,152.924093,9/01/2018,1
2001,-28.162,153.3958,9/01/2018,1
2003,-28.177,153.3652,9/01/2018,1
1806,-28.206,152.7879,11/01/2018,1
1809,-28.243,152.7569,11/01/2018,1
1811,-28.2691,152.7379,11/01/2018,1
1803,-28.1954,152.7749,11/01/2018,1
2009,-28.2139,153.3287,9/01/2018,1
1601,-27.7344,153.1116,9/01/2018,1
2404,-27.847812,153.274219,9/01/2018,1
2405,-27.809022,153.23597,9/01/2018,1
703,-27.3285,152.8032,10/01/2018,1
705,-27.335641,152.808193,10/01/2018,1
2502,-27.250566,152.805971,10/01/2018,1
2203,-26.502,152.9536,10/01/2018,1
2207,-26.5224,152.9598,10/01/2018,1
401,-26.8062,152.9459,10/01/2018,1
406,-26.8486,152.9942,10/01/2018,1
3005,-26.952771,151.936917,16/01/2018,1
2814,-27.031696,152.335885,17/01/2018,1
2802,-26.997307,152.314746,17/01/2018,1
2816,-27.019514,152.320155,17/01/2018,0
211,-26.888905,152.61309,18/01/2018,1
207,-26.8689,152.5843,18/01/2018,1
212,-26.872612,152.585698,18/01/2018,0
305,-26.970918,152.681326,18/01/2018,1
504,-27.0632,152.005,16/01/2018,1
502,-27.0793,151.97,16/01/2018,1
2305,-27.087183,151.876263,16/01/2018,0
2304,-27.1067,151.8613,16/01/2018,0.07
3101,-26.895074,152.30931,17/01/2018,1
105,-26.8596,151.9627,17/01/2018,1
2104,-26.6954,152.0645,17/01/2018,0.15
1408,-27.736083,152.467027,8/01/2018,1
1406,-27.74,152.4568,8/01/2018,0.37
1405,-27.7573,152.4447,8/01/2018,0.04
909,-27.469,151.9792,15/01/2018,1
2701,-27.552486,152.27628,15/01/2018,1
2703,-27.610868,152.220624,15/01/2018,0
2704,-27.62461,152.190156,15/01/2018,0
1202,-27.563992,152.989747,8/01/2018,1
3803,-27.575142,152.464316,12/02/2018,0.4
3601,-27.680389,152.43552,12/02/2018,0
3203,-27.69321,152.364322,12/02/2018,1
3301,-27.706134,152.329484,12/02/2018,0.04
4003,-27.564047,152.55915,12/02/2018,0
3401,-27.657319,152.259659,14/02/2018,0.07
3505,-27.697932,152.245066,14/02/2018,0
3501,-27.763438,152.249245,14/02/2018,0
3502,-27.764963,152.243399,14/02/2018,0
3402,-27.658533,152.250071,14/02/2018,0.04
3503,-27.730418,152.230597,14/02/2018,0
3506,-27.692282,152.214663,14/02/2018,0
4105,-27.65373,152.063062,20/02/2018,0.2
